arg_id,arg,concern
con_arg_1,"If the cost is too great, people may avoid getting the vaccine.",cost
con_arg_2,The vaccine will probably be expensive. This is not good for everyone.,cost
con_arg_3,The cost of a COVID-19 vaccine could be too high for some people.,cost
con_arg_4,It was probably going to be expensive and not everyone would have access,cost
con_arg_5,I'm afraid of the cost of the vaccine and where the money is going to go.,cost
con_arg_6,If it's expensive it's one more reason for me not to get it ,cost
con_arg_7,"As there is no vaccine at present, when one is developed then it has the potential of being in short supply, therefore would be quite expensive. I have an extended family that rely on my wage so dont think that I would be able to afford it.",cost
con_arg_8,"Even if costs could be cut re efficiency, I will still not be getting the vaccine due to its possible high cost, unless government subsidies fully cover the cost for me. ",cost
con_arg_9,vaccine may be very expensive once one is developed ,cost
con_arg_10,If the vaccine costs too much I will not get it,cost
con_arg_11,They would if the pandemic was massively affecting the economy and they wanted the country back on its feet ASAP.,government_eco
con_arg_12,"The government doesn't care about testing, they will be happy with a quick fix to get the economy restored ",government_eco
con_arg_13,"the government just want the economy to return to normal , they do not care how well this is tested .",government_eco
con_arg_14,The government might be in a rush to get a vaccine onto the market so that the population can gain immunity faster. A population with immunity means that businesses can begin to open and thus the economy can begin to grow again. ,government_eco
con_arg_15,There hasn't been time to sufficiently test it considering how new the virus is. The government is more interested in getting people back to work and not losing money and so they would allow it anyway. They have already shown they are willing to risk people's lives with herd immunity and how slow they were locking the country down compared to others. Why would I trust them now?,government_eco
con_arg_16,"That's not necessarily true. Lots of companies and governments act in their own self-interest or for profit or image, rather than actual merit.",government_eco
con_arg_17,The government cares more about finding a solution as quick as possible to prevent economy recession rather than ensuring the best care possible for its people. Pharmaceutical companies are money-driven.,government_eco
con_arg_18,"The process of getting this vaccine out is being rushed though and people are under a lot of pressure to make it work, so it's much easier for mistakes to be made plus we can't guarantee that all information would be made available to the public. The government need this to work to boost the economy.",government_eco
con_arg_19,The government wants businesses to open and kickstart the economy and might release a potential dangerous vaccine in order to achieve that,government_eco
con_arg_20,"Politicians dont care about people, they want to get out of the recession as fast as possible",government_eco
con_arg_21,But who's going to pay for it anyway. It will be the taxpayer in some form or another. ,government_tax
con_arg_22,Govt subsidies are coming out of the pockets of the taxpayers so they are still paying for it. Cutting costs may mean that the product is not up to scratch,government_tax
con_arg_23,So we pay via taxes instead... we still pay.,government_tax
con_arg_24,The government will find another way to recoup the money spent on this or they will cut budgets elsewhere to pay for it. ,government_tax
con_arg_25,"The government has already subsidised plenty, how can they continue to pay for things, we are headed for a huge recession, adding cost of vaccination to the government bill will end up being added to our taxes.",government_tax
con_arg_26,Government subsidies will just be recouped by an increase in taxes so the public will still be covering the cost.,government_tax
con_arg_27,all government subsidies are made possible by taxes,government_tax
con_arg_28,Taxes will grow just to cover the cost so we would be paying out of our own pocket.,government_tax
con_arg_29,"Somewhere along the line the public will have to pay for it, possibly by cuts to public services.",government_tax
con_arg_30,"The more money the government pours into this, the less money it will have for other things. This might mean austerity in other areas of government spending, which might then impact on people's livelihoods, jobs and potentially therefore risk lives.",government_tax
con_arg_31,That may be the case but someone has to pay for it. The Government is our government and they use our money so higher taxes would ensue which I couldn't afford.,government_tax
con_arg_32,The government will find a way to make us pay for it in the long run.,government_tax
con_arg_33,"If the government will pay for vaccines, they will have to think carefully about where they get their money from and how their spending might impact other areas of spending that might impact (perhaps adversely) the livelihoods and jobs of people, thereby impacting lives and health too.",government_tax
con_arg_34,"They want to be seen to be doing something as soon as possible, so might not test it as thoroughly as they should",government_trust
con_arg_35,The government have made a lot of mistakes over the understanding of covid 19 so who's to say they are right that the vaccine works,government_trust
con_arg_36,The government need a key win in this crisis and may cut corners,government_trust
con_arg_37,Government is under pressure to get a vaccine out there so may rush tests ,government_trust
con_arg_38,"The government isnt reacting to this in a ""normal"" way and nothing covid related can be compared to anything before. Lives have been lost due to governments poor decisions and i expect the same will happen with a rushed vaccine",government_trust
con_arg_39,The government will be speeding up the process because of the pressure and therefore will not be following usual health and safety procedures. The government want good news stories.,government_trust
con_arg_40,"I think the government would, as they are under pressure to get a vaccine out quickly, so they will push through the testing phase quickly ",government_trust
con_arg_41,The Government are rushing through testing and using whatever they can find,government_trust
con_arg_42,"Untrue, with the current situation the government are under immense pressure to produce a vaccine in a much quicker time. I would not be one of the first to take the vaccine as side effects are sure to happen.",government_trust
con_arg_43,"How can you be sure its any less safe, this vaccine is being rushed not only so governments seem to be doing something proactive but also to make someone, whoever discovers a vaccine, very rich. The health and wellbeing of people is not being put ahead of the need to appear to be doing something.",government_trust
con_arg_44,"Due to the nature of covid and the speed in which it has spread, governments may be more concerned with getting a vaccine out to appease the public rather than testing it as thoroughly as it should be tested.",government_trust
con_arg_45,The government will do what makes tbem money  they don't care about us.,government_trust
con_arg_46,Governments are more concerned with getting a vaccine out quickly and may accept findings from other countries research rather than conducting their own to save time,government_trust
con_arg_47,If it works on a few people I'm sure governments would still call it a success. They all want to be seen to be 'the first' to come up with a cure/ vaccine.,government_trust
con_arg_48,The government aren't renowned for relaying accurate information. I am sure the same was said before they introduced Thalidomide.,government_trust
con_arg_49,"I do not trust everything the government says, they have lied before and can lie again just to get people to inject themselves with possibly dangerous vaccines",government_trust
con_arg_50,Some would say the government is very corrupt and therefore should not have complete trust in the government and companies that market vaccines. A lot of misinformation can be spread around and thus one may not trust in the information given to them when taking the vaccine.,government_trust
con_arg_51,I don't trust companies or the government. Private companies and government regularly partake in activities which destroy our natural environment and put peoples health at risk. ,government_trust
con_arg_52,The governement and companies are more interested in money than peoples health.,government_trust
con_arg_53,The government's top priority right now is getting the pandemic under control. This will make them complacent when looking for a vaccine,government_trust
con_arg_54,The government is under pressure to deliver something. They cant wait around for whats perfect its a guessing game at this stage.,government_trust
con_arg_55,People don't trust the government as they only care about money.,government_trust
con_arg_56,The government or companies are probably untrustworthy as they would put out a product they don't necessarily believe in for profit. ,government_trust
con_arg_57,"I feel that we are in the problems with COVID because the government didn't act soon enough, why should I trust them now?",government_trust
con_arg_58,Money And the economy and the tax receipts to the government is the reason we didn't go into lockdown earlier when much more lives could have been saved then than would be now the virus has passed its peak,government_trust
con_arg_59,"Most vaccines are tested for long term affects, due to the time line of the COVID vaccine trials we wont know if the vaccine could have side affects that dont show up till later down the line. ",long_term_effects
con_arg_60,The trials only test the short-term effects of the vaccine. Long-term effects would not be known until much later.,long_term_effects
con_arg_61,"However, long term side effects cannot be analysed due to the time constraints placed on researchers to manufacture a vaccine, as it can take many years for vaccines to be sufficiently tested, for side effects and efficacy, and this amount of time is just not viable as a vaccine is needed quickly to potentially cope with a second influx of cases. In addition, if a vaccine is not tested on certain demographics of people, then some people with certain illnesses may respond negatively to the vaccine and have a severe reaction to the dose. ",long_term_effects
con_arg_62,This vaccination has been prepared under immense time pressure. Nobody know if there will be long lasting side effects!,long_term_effects
con_arg_63,"I think that too, but they will only know if there are short time side effects.There is no way of knowing the long term side effects of the vaccine.",long_term_effects
con_arg_64,Im sure short term testing will be carried out but what about long term affects? All companies and countries are racing to have the first vaccine available on the market this will undoubtedly lead to corners being cut. ,long_term_effects
con_arg_65,"These medications have been tested over many years with very large groups of people to get accurate data, yes it is understandable that there will be reactions to the new vaccine no matter what, but to full understand all the long term effects a study needs to be carried out over a longer period with more people at different stages.",long_term_effects
con_arg_66,This is misleading and unfair for customers. There may be long term side effects that people are unaware of due to the medicine being released too early on which actually outweigh the possible COVID symptoms. ,long_term_effects
con_arg_67,Again you can't be sure of the long term risks or hidden risks that could occur,long_term_effects
